 ASIGNATURA;TEMA O CONCEPTO;SOLO;BLOOM;TEMA_CLASIFICADO
ARQUITECTURA DE SOFTWARE;Revisión de alcance de software;Multiestructural;Comprender;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas Multicanal;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ESTRUCTURAS DE DATOS;Listas doblemente enlazadas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Multilistas;Abstracto Extendido;Analizar;Programación Python
ANÁLISIS Y DISEÑO DE ALGORITMOS;resolución de problemas en entrevista;Multiestructural;Aplicar;Otros
INGENIERÍA WEB;Validación html y CSS - parcial;Abstracto Extendido;Aplicar;Investigación
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de imagenes con COIL;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Apis;Multiestructural;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución binomial;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;Matricen en C;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Matrices en C;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;apuntadores en c++;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Cadenas en c++;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;METODO DE ELECCIÓN DE ARQUITECTURA DE SOFWARE CASO DE USO;Abstracto Extendido;Analizar;Otros
PROGRAMACIÓN IMPERATIVA;Revisión programas c++ funciones p. integrador;Multiestructural;Comprender;Otros
ESTRUCTURAS DE DATOS;Listas enlazadas;Abstracto Extendido;Analizar;Programación Python
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;ArrayList;Abstracto Extendido;Aplicar;Programación Java
ESTRUCTURAS DE DATOS;Multi listas;Abstracto Extendido;Analizar;Programación Python
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Eventos;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Jbutton;Abstracto Extendido;Aplicar;Otros
ESTRUCTURAS DE DATOS;Árboles;Abstracto Extendido;Analizar;Programación Robot
CONSTRUCCIÓN DE SOFTWARE;programación web;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Definición de objetivos para una app Android;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de Retrofit;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Accesando a las API;Multiestructural;Aplicar;Otros
ESTRUCTURAS DE DATOS;Pilas;Abstracto Extendido;Analizar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;ecuaciones de recurrencia;Multiestructural;Aplicar;Programación Java
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Formulación de objetivos para el problema de teoría de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;Cadenas en C;Abstracto Extendido;Aplicar;Otros
ESTRUCTURAS DE DATOS;Pilas y colas;Abstracto Extendido;Analizar;Programación Java
ESTRUCTURAS DE DATOS;Multilistas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Listas enlazadas;Abstracto Extendido;Analizar;Programación Python
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Accesos a gitlab;NO HAY VERBO;NO HAY VERBO;Otros
INGENIERÍA WEB;Deploy WEB;Relacional;Crear;Algoritmia
INGENIERÍA WEB;Deploy WEB;Relacional;Crear;Algoritmia
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas Multicanal;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Fuincionalidad app;NO HAY VERBO;NO HAY VERBO;Investigación
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución bninomial;NO HAY VERBO;NO HAY VERBO;Otros
CONSTRUCCIÓN DE SOFTWARE;Aclaración de modelo hexagonal;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Arquitectura Clean;Abstracto Extendido;Analizar;Otros
PROGRAMACIÓN IMPERATIVA;Revisión programas en c++ funciones y p. íntegrador;Multiestructural;Comprender;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Mètodo de euler;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo de ruta minima;Multiestructural;Aplicar;Algoritmia
ARQUITECTURA DE SOFTWARE;Modelo de negocio BPMN;Abstracto Extendido;Analizar;Otros
ALGORITMIA Y PROGRAMACIÓN;Arreglos;NO HAY VERBO;NO HAY VERBO;Otros
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Pilas y colas;Abstracto Extendido;Analizar;Programación Java
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución binomial;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Protocolo RPC;NO HAY VERBO;NO HAY VERBO;Otros
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Protocolo RPC;NO HAY VERBO;NO HAY VERBO;Otros
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Web service;NO HAY VERBO;NO HAY VERBO;Algoritmia
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Sistemas en la Nube AWs;NO HAY VERBO;NO HAY VERBO;Otros
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Contenedores Docker ;NO HAY VERBO;NO HAY VERBO;Programación Java
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Kubernetes;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Algoritmos con PSeint;NO HAY VERBO;NO HAY VERBO;Algoritmia
ALGORITMIA Y PROGRAMACIÓN;Concepto básicos visual basic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ESTRUCTURAS DE DATOS;Multilistas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Proyecto integrador multilista ;Abstracto Extendido;Aplicar;Proyecto Integrador
ESTRUCTURAS DE DATOS;árboles;Abstracto Extendido;Analizar;Programación Robot
ESTRUCTURAS DE DATOS;Grafos;Abstracto Extendido;Analizar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuación de recurrencia;Multiestructural;Aplicar;Programación Java
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo de ruta minima;Multiestructural;Aplicar;Algoritmia
ALGORITMIA Y PROGRAMACIÓN;Introducción proyecto integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
ARQUITECTURA DE SOFTWARE;PEER TO PEER;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;TIPOS DE DIAGRAMAS UML CONCEPTOS PROPIEDADES Y USOS;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Atributos de calidad y sus características en el desarrollo de software.;Abstracto Extendido;Aplicar;Proyecto Integrador
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Api;Multiestructural;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;PEER TO PEER;Abstracto Extendido;Analizar;Otros
ARQUITECTURA DE SOFTWARE;TIPOS DE DIAGRAMAS UML CONCEPTOS PROPIEDADES Y USOS;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;Atributos de calidad y sus características en el desarrollo de software.;Abstracto Extendido;Aplicar;Proyecto Integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;ruta mínima altoritmo;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo ruta critica;Abstracto Extendido;Analizar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algortimo ruta más corta matrices;Multiestructural;Aplicar;Otros
INGENIERÍA DE SOFTWARE;proyecto integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
ALGORITMIA Y PROGRAMACIÓN;Ejercicios Vectores;NO HAY VERBO;NO HAY VERBO;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;complejidad de algoritmos;Multiestructural;Aplicar;Algoritmia
ALGORITMIA Y PROGRAMACIÓN;Instrucciones de entrada y salida algoritmia;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Concepto básicos visual basic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ALGORITMIA Y PROGRAMACIÓN;Visual Basic - introducción;NO HAY VERBO;NO HAY VERBO;Programación VBA
ALGORITMIA Y PROGRAMACIÓN;Conceptos introducción visual basic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ALGORITMIA Y PROGRAMACIÓN;Conceptos introducción visual basic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ALGORITMIA Y PROGRAMACIÓN;Estructura IF;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN IMPERATIVA;Archivos cpp;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;vectores;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;cadenas funcion operaciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones y vectores;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creacion subgrupo gitlab;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación de prototipo;NO HAY VERBO;NO HAY VERBO;Investigación
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;aplicaciones android;NO HAY VERBO;NO HAY VERBO;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo de ruta minima;Multiestructural;Aplicar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos de ruta minima;Multiestructural;Aplicar;Algoritmia
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Criterios de acpetación ML-System;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Conceptos introducción visual basic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ALGORITMIA Y PROGRAMACIÓN;Cálculo de pendiente ejercicio.;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;arreglos en visua basic;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;vectores y  matrices;NO HAY VERBO;NO HAY VERBO;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo cinetico de montecarlo;Relacional;Recordar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de montecarlo;Relacional;Recordar;Algoritmia
PROGRAMACIÓN IMPERATIVA;cadenas y función operaciones matemáticas c++;Abstracto Extendido;Aplicar;Otros
ARQUITECTURA DE SOFTWARE;REVISION DE AUTOMATAS Nd PARA ENCONTRAR UNA GRAMATICA ACORDE AL GRAFO;Multiestructural;Comprender;Algoritmia
ESTRUCTURAS DE DATOS;Proyecto integrador multilista ;Abstracto Extendido;Aplicar;Proyecto Integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo de ruta minima;Multiestructural;Aplicar;Algoritmia
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;CONDOR - CONCEPTO HISTORIA Y CARACTERISTICAS;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Instrucciones de entrada y salida - PSeint;NO HAY VERBO;NO HAY VERBO;Algoritmia
ALGORITMIA Y PROGRAMACIÓN;Seguimiento ejercicios algoritmia;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Estructura if;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Comando if;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Visual bacic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ALGORITMIA Y PROGRAMACIÓN;VAlor absoluto.;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Problemas valor absoluto.;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Simetría en funciones.;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;ecuaciones y su función;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;ejercicio teorema pitágoras;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
ALGORITMIA Y PROGRAMACIÓN;ecuación punto pendiente;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Cálculo pendiente para recta;NO HAY VERBO;NO HAY VERBO;Algoritmia
ALGORITMIA Y PROGRAMACIÓN;Ecuaciones de la recta;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;vectores en visual basic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ALGORITMIA Y PROGRAMACIÓN;Escalas de gráficas;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;arreglos vectores;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Puntos en el plano ;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN IMPERATIVA;Sintaxis c++ función totalPatas;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Estructuras de control if then else;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones y límites;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Ciclo Do While;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Métodos y funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Matrices;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Cadenas y ciclos for;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;arreglos y matrices;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;matrices;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Ciclos for;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;condicional if ;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Definición del problema;Abstracto Extendido;Aplicar;Proyecto Integrador
ALGORITMIA Y PROGRAMACIÓN;Definición problema objetivos y relación con la programación imperativa;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;cadena y función operaciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones dh/dt;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones y procedimientos;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Ciclos y razones de cambio;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Cronograma y presupuestos;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Asignación de recursos logistica y tiempos;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Clases y objetos;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;métodos y objetos;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Palabras capicúa y clases;Multiestructural;Aplicar;Otros
ESTRUCTURAS DE DATOS;listas doblemente enlazadas;Abstracto Extendido;Analizar;Programación Python
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Clases;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Java y clases;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Arraylist;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Creación de clases y métodos;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Array list en java;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Arreglos y objetos;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;ciclos para recorrer arreglo de objetos;Uniestructural;Crear;Otros
ESTRUCTURAS DE DATOS;Àrboles;Abstracto Extendido;Analizar;Programación Robot
ESTRUCTURAS DE DATOS;Grafos;Abstracto Extendido;Analizar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Interfaces gráficas de usuario.;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;java interfaces;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;formularios y componentes de interfaces;Abstracto Extendido;Aplicar;Programación Java
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Pilas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Multilistas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Listas enlazadas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;árboles;Abstracto Extendido;Analizar;Programación Robot
ESTRUCTURAS DE DATOS;Colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Pilas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;inserción en colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Estructura de colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Estructura de datos colas;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;Pilas  en java;Abstracto Extendido;Aplicar;Programación Java
ESTRUCTURAS DE DATOS;Lectura de datos en java;Abstracto Extendido;Aplicar;Programación Java
ESTRUCTURAS DE DATOS;Código de estructura de árboles;Abstracto Extendido;Analizar;Otros
ESTRUCTURAS DE DATOS;árboles binarios;Abstracto Extendido;Analizar;Algoritmia
ESTRUCTURAS DE DATOS;listas doblemente enlazadas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Recorrido de listas ;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Impresion listas;Abstracto Extendido;Analizar;Programación Python
ALGORITMIA Y PROGRAMACIÓN;vectores y matrices;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Arreglos y vectores;NO HAY VERBO;NO HAY VERBO;Otros
PROGRAMACIÓN IMPERATIVA;Funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Matrices y arreglos;Abstracto Extendido;Aplicar;Otros
ALGORITMIA Y PROGRAMACIÓN;Arreglos;NO HAY VERBO;NO HAY VERBO;Otros
ESTRUCTURAS DE DATOS;multilistas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Árboles;Abstracto Extendido;Analizar;Programación Robot
ESTRUCTURAS DE DATOS;Grafos;Abstracto Extendido;Analizar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución binomial;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas;NO HAY VERBO;NO HAY VERBO;Estadística y Matemáticas
PROGRAMACIÓN IMPERATIVA;Funciones;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Ciclos números aleatorios;Abstracto Extendido;Aplicar;Otros
PROGRAMACIÓN IMPERATIVA;Funciones y procedimientos;Abstracto Extendido;Aplicar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Herencia en DPOO;Abstracto Extendido;Aplicar;Programación Java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Aclaración de dudas con respecto a requerimientos funcionales y no funcionales.;Preestructural;Recordar;Otros
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Codificación de objetos en Java;Abstracto Extendido;Aplicar;Programación Java
ALGORITMIA Y PROGRAMACIÓN;Resolución de problema sobre triangulo egipcio;Multiestructural;Aplicar;Otros
ALGORITMIA Y PROGRAMACIÓN;Resolución de ecuacion de 2do grado a partir del signo del discriminante;Multiestructural;Aplicar;Otros
ALGORITMIA Y PROGRAMACIÓN;Bucles while - conceptos generales;NO HAY VERBO;NO HAY VERBO;Programación Java
ALGORITMIA Y PROGRAMACIÓN;Solucion ejercicio de suma de numeros impares;Multiestructural;Aplicar;Otros
ALGORITMIA Y PROGRAMACIÓN;Solución problema numeros divisibles entre 3;Multiestructural;Aplicar;Programación Java
ALGORITMIA Y PROGRAMACIÓN;solucion problema numeros pares en rango;Multiestructural;Aplicar;Programación Python
ALGORITMIA Y PROGRAMACIÓN;resolucion ejercicio 6 del parcial;Multiestructural;Aplicar;Otros
ALGORITMIA Y PROGRAMACIÓN;resolucion ejercicio indices separados lectura y escritura;Multiestructural;Aplicar;Otros
ESTRUCTURAS DE DATOS;Multilistas;Abstracto Extendido;Analizar;Programación Python
ESTRUCTURAS DE DATOS;Árboles;Abstracto Extendido;Analizar;Programación Robot
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos de arboles;Multiestructural;Aplicar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;Problema de Conway;Multiestructural;Aplicar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de ruta más corta  matrices;Multiestructural;Aplicar;Algoritmia
ANÁLISIS Y DISEÑO DE ALGORITMOS;ruta mas corta;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;ruta crítica más corta;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;complejidad computacional;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;complejidad computacionl;Multiestructural;Aplicar;Otros
INGENIERÍA DE SOFTWARE;integración backend;Relacional;Comprender;Proyecto Integrador
ALGORITMIA Y PROGRAMACIÓN;Introducción a proyecto integrador;Abstracto Extendido;Aplicar;Proyecto Integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuaciones de recurrencia;Multiestructural;Aplicar;Programación Java
ANÁLISIS Y DISEÑO DE ALGORITMOS;ruta mínima;Multiestructural;Aplicar;Otros
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Transacción a 2 Fases - 2PC, Transacción a 3 Fases - 3PC;NO HAY VERBO;NO HAY VERBO;Otros
ARQUITECTURA DE SOFTWARE;Atributos de calidad y sus características a través de métricas;Abstracto Extendido;Analizar;Proyecto Integrador
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;AWS CONCEPTO HISTORIA Y SERVICIOS;NO HAY VERBO;NO HAY VERBO;Otros
ALGORITMIA Y PROGRAMACIÓN;Concepto básicos visual basic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ALGORITMIA Y PROGRAMACIÓN;Concepto básicos visual basic;NO HAY VERBO;NO HAY VERBO;Programación VBA
ESTRUCTURAS DE DATOS;Pilas y colas;Abstracto Extendido;Analizar;Programación Java
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;planteamiento del problema del proyecto para la asignatura;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;formulación del proyecto con citaciones y cifras;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Estructura de los objetivos específicos para el proyecto de series de tiempo de clima;Abstracto Extendido;Aplicar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Machine learning ;NO HAY VERBO;NO HAY VERBO;Algoritmia
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Algoritmos de predicción;NO HAY VERBO;NO HAY VERBO;Algoritmia
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;THREADS, COMUNICACIONES, TIPOS, ACID ,Transacción a 2 Fases - 2PC Transacción a 3 Fases - 3PC, Bloqueo a 2 Fases - 2PL;NO HAY VERBO;NO HAY VERBO;Otros
ARQUITECTURA DE SOFTWARE;Diagramas de UML diferencias y usos;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;requerimientos;Abstracto Extendido;Evaluar;Otros
INGENIERÍA DE SOFTWARE;diseño documental del proyecto ;Abstracto Extendido;Aplicar;Otros
INGENIERÍA DE SOFTWARE;cronograma;Abstracto Extendido;Evaluar;Otros
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Elementos que debe cumplir una pregunta de investigación y objetivos para el proyecto del videojuego;Preestructural;Recordar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Compilación de APK;NO HAY VERBO;NO HAY VERBO;Proyecto Integrador
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Compilación de APK desde node;Abstracto Extendido;Aplicar;Proyecto Integrador
ARQUITECTURA DE SOFTWARE;Arquitectura Clean;Abstracto Extendido;Analizar;Otros
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Aplicación android;NO HAY VERBO;NO HAY VERBO;Otros
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;AWS servidor DNS;NO HAY VERBO;NO HAY VERBO;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;Automatas AFN;Multiestructural;Aplicar;Otros
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos de ruta minima;Multiestructural;Aplicar;Algoritmia
