 ASIGNATURA;TEMA O CONCEPTO
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Formulación de un problema de machine learning para residuos solidos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Redacción de objetivo general y específicos del proyecto de clasificación de basura con Tensorflow
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Como etiquetar de imágenes de tipos de basura en label.img 
ARQUITECTURA DE SOFTWARE;Atributos de calidad de software en el Proyecto integrador
INGENIERÍA WEB;Migración de Modelo vista controlador a Java Sever faces
ARQUITECTURA DE SOFTWARE;Prácticas empresariales
ESTRUCTURAS DE DATOS;Configuración compilador c++
ESTRUCTURAS DE DATOS;Grafos
CONSTRUCCIÓN DE SOFTWARE;Validación de tipos abstractos de datos para proyecto integrador.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Calculo de valor esperado y varianza
CONSTRUCCIÓN DE SOFTWARE;Cloud computing
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Algoritmos de predicción
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;CORBA CONCEPTO HISTORIA Y CARACTERISTICAS 
ALGORITMIA Y PROGRAMACIÓN;Programación JAVA
ALGORITMIA Y PROGRAMACIÓN;Apoyo sobre el tema Arreglos máximos y mínimos
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de arrreglo librería numpy plt
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Estructura de objetivo general y específicos para un proyecto
CONSTRUCCIÓN DE SOFTWARE;Validación de tipos abstractos de datos en javascript para proyecto integrador.
ARQUITECTURA DE SOFTWARE;patrones de Arquitectura
PROGRAMACIÓN IMPERATIVA;Cadenas en C
ESTRUCTURAS DE DATOS;colas de prioridades
ESTRUCTURAS DE DATOS;Listas doblemente enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo ruta minima
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Criterios de Aceptación ML Systems
PROGRAMACIÓN IMPERATIVA;Arreglos y matrices en C++
PROGRAMACIÓN IMPERATIVA;Cadenas en C
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;creación de instancias
ESTRUCTURAS DE DATOS;Listas enlazadas simples
ESTRUCTURAS DE DATOS;Pilas y colas
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Cola de prioridades
ESTRUCTURAS DE DATOS;Grafos
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de montecarlo
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Integrales para obtener la probabilidad de una función de densidad
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Formulación de características probabilísticas de personajes en el videojuego
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Elementos que debe cumplir una pregunta de investigación y objetivos para el proyecto del videojuego
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Flujo de trabajo en el software Knime para el dataset de vinos
CONSTRUCCIÓN DE SOFTWARE;Metricas de software
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teorema de Bayes y dataset de Iris
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Selección de variables en un dataset
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Aplicación de Naive Bayes con el dataset del clima
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Medidas de desempeño de la regresión lineal
ARQUITECTURA DE SOFTWARE;TIPOS DE DIAGRAMAS UML CONCEPTOS PROPIEDADES Y USOS
ARQUITECTURA DE SOFTWARE;Atributos de calidad y sus características en el desarrollo de software 
ANÁLISIS Y DISEÑO DE ALGORITMOS;resolución de problemas en entrevista
ARQUITECTURA DE SOFTWARE;EXPOSICION ARQ BASADA EN APIS
ARQUITECTURA DE SOFTWARE;TIPOS DE DIAGRAMAS UML CONCEPTOS PROPIEDADES Y USOS
ARQUITECTURA DE SOFTWARE;Atributos de calidad y sus características en el desarrollo de software.
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas doblemente enlazadas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Repositorio remoto
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de Intents para activities
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Planteamiento de pregunta de investigación
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Cifras para sustentar el planteamiento del problema
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Evaluación de los elementos mínimos de un proyecto de clase 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;medidas de tendencia central
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Definición de objetivos para una app Android
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de Glide+Retrofit
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;conectando a las APIs
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas doblemente enlazadas
ESTRUCTURAS DE DATOS;Listas doblemente enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Árboles
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;.net Framework
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Java RMI
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;RPC en Python
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Aplicacion con api
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;GUI
ESTRUCTURAS DE DATOS;Grafos
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;CORBA CONCEPTO HISTORIA Y CARACTERISTICAS
ESTRUCTURAS DE DATOS;Listas enlazdas
ESTRUCTURAS DE DATOS;Pilas y colas
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Multilistas
INGENIERÍA DE SOFTWARE;requerimientos
INGENIERÍA DE SOFTWARE;documentación
INGENIERÍA DE SOFTWARE;cronograma
INGENIERÍA DE SOFTWARE;componentes de desarrollo 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Formulación de características probabilísticas de personajes en el videojuego
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Elementos que debe cumplir una pregunta de investigación y objetivos para el proyecto del videojuego
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;JAVA RMI
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;.net Framework
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Servidor Opendaylight en docker 
ARQUITECTURA DE SOFTWARE;Como plantear un SAAS para un anteproyecto siguiendo los lineamientos de As.
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas doblemente enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmos en Python comando range  y for
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo implicito de Euler
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computacional
ANÁLISIS Y DISEÑO DE ALGORITMOS;ecuaciones de recurrencia
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;repositorio remoto-usuario
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de Intents para activities
CONSTRUCCIÓN DE SOFTWARE;Validación metodología
CONSTRUCCIÓN DE SOFTWARE;Implementación de TAds en códigos python. Validación parcial.
ESTRUCTURAS DE DATOS;Listas enlazadas
ARQUITECTURA DE SOFTWARE;Arquitectura del proyecto de software 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Planteamiento del problema del proyecto para la asignatura
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Formulación del planteamiento del proyecto de aplicativo para seguridad en taxis y de pregunta de investigación.
CONSTRUCCIÓN DE SOFTWARE;Infraestructura de TI para el futuro - Validación Coniiti
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Evaluación de los elementos mínimos de un proyecto 
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;AWS CONCEPTO HISTORIA Y SERVICIOS
PROGRAMACIÓN IMPERATIVA;Recursividad
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de Conway
CONSTRUCCIÓN DE SOFTWARE;Validación de tipos abstractos de datos para proyecto integrador.
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Evaluación de los elementos mínimos de un proyecto de clase
PROGRAMACIÓN IMPERATIVA;Cadenas en C
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación de subgrupo en gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;desarrollo de Dispositivos móviles 
PROGRAMACIÓN IMPERATIVA;duda arreglos
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;Listas enlazadas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas 
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Programa desarrollado en android
ESTRUCTURAS DE DATOS;Listas enlazadas
ANÁLISIS Y DISEÑO DE ALGORITMOS;Complejidad computaional
ARQUITECTURA DE SOFTWARE;Prácticas empresariales
ALGORITMIA Y PROGRAMACIÓN;Ciclos Repetitivos
PROGRAMACIÓN IMPERATIVA;funciones
ESTRUCTURAS DE DATOS;Infijos y posfijos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Proyecto integrador
INGENIERÍA DE SOFTWARE;Planteamiento de problema
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Repaso Markov y teoría de colas
PROGRAMACIÓN IMPERATIVA;Cadenas en C
ARQUITECTURA DE SOFTWARE;Definir el alcance de la aplicación navega seguro
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creación subgrupo en gitlab
ARQUITECTURA DE SOFTWARE;Definición del alcance del proyecto
ARQUITECTURA DE SOFTWARE;Definición el alcance y evolución de la herramienta
ARQUITECTURA DE SOFTWARE;Definir el alcance de la arquitectura de navega seguro. Estados del arte
ARQUITECTURA DE SOFTWARE;Metodologia de proyecto y alcance
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Desarrollo de móviles
ARQUITECTURA DE SOFTWARE;Revisión de alcance de software
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas Multicanal
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas
ESTRUCTURAS DE DATOS;Listas doblemente enlazadas
ESTRUCTURAS DE DATOS;Multilistas
ANÁLISIS Y DISEÑO DE ALGORITMOS;resolución de problemas en entrevista
INGENIERÍA WEB;Validación html y CSS - parcial
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de imagenes con COIL
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Apis
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución binomial
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas
PROGRAMACIÓN IMPERATIVA;Matricen en C
PROGRAMACIÓN IMPERATIVA;Matrices en C
PROGRAMACIÓN IMPERATIVA;apuntadores en c++
PROGRAMACIÓN IMPERATIVA;Cadenas en c++
ARQUITECTURA DE SOFTWARE;METODO DE ELECCIÓN DE ARQUITECTURA DE SOFWARE CASO DE USO
PROGRAMACIÓN IMPERATIVA;Revisión programas c++ funciones p. integrador
ESTRUCTURAS DE DATOS;Listas enlazadas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas
PROGRAMACIÓN IMPERATIVA;Apuntadores en c++
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;ArrayList
ESTRUCTURAS DE DATOS;Multi listas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Eventos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Jbutton
ESTRUCTURAS DE DATOS;Árboles
CONSTRUCCIÓN DE SOFTWARE;programación web
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Definición de objetivos para una app Android
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Manejo de Retrofit
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Accesando a las API
ESTRUCTURAS DE DATOS;Pilas
ANÁLISIS Y DISEÑO DE ALGORITMOS;ecuaciones de recurrencia
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Formulación de objetivos para el problema de teoría de colas
PROGRAMACIÓN IMPERATIVA;Cadenas en C
ESTRUCTURAS DE DATOS;Pilas y colas
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Listas enlazadas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Accesos a gitlab
INGENIERÍA WEB;Deploy WEB
INGENIERÍA WEB;Deploy WEB
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Teoría de colas Multicanal
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Fuincionalidad app
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución bninomial
CONSTRUCCIÓN DE SOFTWARE;Aclaración de modelo hexagonal
ARQUITECTURA DE SOFTWARE;Arquitectura Clean
PROGRAMACIÓN IMPERATIVA;Revisión programas en c++ funciones y p. íntegrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;Mètodo de euler
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo de ruta minima
ARQUITECTURA DE SOFTWARE;Modelo de negocio BPMN
ALGORITMIA Y PROGRAMACIÓN;Arreglos
ESTRUCTURAS DE DATOS;Colas
ESTRUCTURAS DE DATOS;Pilas y colas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución binomial
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Protocolo RPC
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Protocolo RPC
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Web service
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Sistemas en la Nube AWs
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Contenedores Docker 
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Kubernetes
ALGORITMIA Y PROGRAMACIÓN;Algoritmos con PSeint
ALGORITMIA Y PROGRAMACIÓN;Concepto básicos visual basic
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Proyecto integrador multilista 
ESTRUCTURAS DE DATOS;árboles
ESTRUCTURAS DE DATOS;Grafos
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuación de recurrencia
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo de ruta minima
ALGORITMIA Y PROGRAMACIÓN;Introducción proyecto integrador
ARQUITECTURA DE SOFTWARE;PEER TO PEER
ARQUITECTURA DE SOFTWARE;TIPOS DE DIAGRAMAS UML CONCEPTOS PROPIEDADES Y USOS
ARQUITECTURA DE SOFTWARE;Atributos de calidad y sus características en el desarrollo de software.
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Api
ARQUITECTURA DE SOFTWARE;PEER TO PEER
ARQUITECTURA DE SOFTWARE;TIPOS DE DIAGRAMAS UML CONCEPTOS PROPIEDADES Y USOS
ARQUITECTURA DE SOFTWARE;Atributos de calidad y sus características en el desarrollo de software.
ANÁLISIS Y DISEÑO DE ALGORITMOS;ruta mínima altoritmo
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo ruta critica
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algortimo ruta más corta matrices
INGENIERÍA DE SOFTWARE;proyecto integrador
ALGORITMIA Y PROGRAMACIÓN;Ejercicios Vectores
ANÁLISIS Y DISEÑO DE ALGORITMOS;complejidad de algoritmos
ALGORITMIA Y PROGRAMACIÓN;Instrucciones de entrada y salida algoritmia
ALGORITMIA Y PROGRAMACIÓN;Concepto básicos visual basic
ALGORITMIA Y PROGRAMACIÓN;Visual Basic - introducción
ALGORITMIA Y PROGRAMACIÓN;Conceptos introducción visual basic
ALGORITMIA Y PROGRAMACIÓN;Conceptos introducción visual basic
ALGORITMIA Y PROGRAMACIÓN;Estructura IF
PROGRAMACIÓN IMPERATIVA;Archivos cpp
PROGRAMACIÓN IMPERATIVA;funciones
PROGRAMACIÓN IMPERATIVA;vectores
PROGRAMACIÓN IMPERATIVA;cadenas funcion operaciones
PROGRAMACIÓN IMPERATIVA;Funciones y vectores
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Creacion subgrupo gitlab
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Validación de prototipo
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;aplicaciones android
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo de ruta minima
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos de ruta minima
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Criterios de acpetación ML-System
ALGORITMIA Y PROGRAMACIÓN;Conceptos introducción visual basic
ALGORITMIA Y PROGRAMACIÓN;Cálculo de pendiente ejercicio.
ALGORITMIA Y PROGRAMACIÓN;arreglos en visua basic
ALGORITMIA Y PROGRAMACIÓN;vectores y  matrices
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo cinetico de montecarlo
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de montecarlo
PROGRAMACIÓN IMPERATIVA;cadenas y función operaciones matemáticas c++
ARQUITECTURA DE SOFTWARE;REVISION DE AUTOMATAS Nd PARA ENCONTRAR UNA GRAMATICA ACORDE AL GRAFO
ESTRUCTURAS DE DATOS;Proyecto integrador multilista 
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmo de ruta minima
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;CONDOR - CONCEPTO HISTORIA Y CARACTERISTICAS
ALGORITMIA Y PROGRAMACIÓN;Instrucciones de entrada y salida - PSeint
ALGORITMIA Y PROGRAMACIÓN;Seguimiento ejercicios algoritmia
ALGORITMIA Y PROGRAMACIÓN;Estructura if
ALGORITMIA Y PROGRAMACIÓN;Comando if
ALGORITMIA Y PROGRAMACIÓN;Visual bacic
ALGORITMIA Y PROGRAMACIÓN;VAlor absoluto.
ALGORITMIA Y PROGRAMACIÓN;Problemas valor absoluto.
ALGORITMIA Y PROGRAMACIÓN;Simetría en funciones.
ALGORITMIA Y PROGRAMACIÓN;ecuaciones y su función
ALGORITMIA Y PROGRAMACIÓN;ejercicio teorema pitágoras
ALGORITMIA Y PROGRAMACIÓN;ecuación punto pendiente
ALGORITMIA Y PROGRAMACIÓN;Cálculo pendiente para recta
ALGORITMIA Y PROGRAMACIÓN;Ecuaciones de la recta
ALGORITMIA Y PROGRAMACIÓN;vectores en visual basic
ALGORITMIA Y PROGRAMACIÓN;Escalas de gráficas
ALGORITMIA Y PROGRAMACIÓN;arreglos vectores
ALGORITMIA Y PROGRAMACIÓN;Puntos en el plano 
PROGRAMACIÓN IMPERATIVA;Sintaxis c++ función totalPatas
PROGRAMACIÓN IMPERATIVA;Estructuras de control if then else
PROGRAMACIÓN IMPERATIVA;Funciones
PROGRAMACIÓN IMPERATIVA;Funciones y límites
PROGRAMACIÓN IMPERATIVA;Ciclo Do While
PROGRAMACIÓN IMPERATIVA;Funciones
PROGRAMACIÓN IMPERATIVA;Métodos y funciones
PROGRAMACIÓN IMPERATIVA;Matrices
PROGRAMACIÓN IMPERATIVA;Cadenas y ciclos for
PROGRAMACIÓN IMPERATIVA;arreglos y matrices
PROGRAMACIÓN IMPERATIVA;matrices
PROGRAMACIÓN IMPERATIVA;Ciclos for
PROGRAMACIÓN IMPERATIVA;condicional if 
PROGRAMACIÓN IMPERATIVA;funciones
PROGRAMACIÓN IMPERATIVA;funciones
PROGRAMACIÓN IMPERATIVA;Funciones
PROGRAMACIÓN IMPERATIVA;Definición del problema
ALGORITMIA Y PROGRAMACIÓN;Definición problema objetivos y relación con la programación imperativa
PROGRAMACIÓN IMPERATIVA;cadena y función operaciones
PROGRAMACIÓN IMPERATIVA;Funciones dh/dt
PROGRAMACIÓN IMPERATIVA;Funciones y procedimientos
PROGRAMACIÓN IMPERATIVA;Ciclos y razones de cambio
PROGRAMACIÓN IMPERATIVA;Cronograma y presupuestos
PROGRAMACIÓN IMPERATIVA;Asignación de recursos logistica y tiempos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Clases y objetos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;métodos y objetos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Palabras capicúa y clases
ESTRUCTURAS DE DATOS;listas doblemente enlazadas
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Clases
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Java y clases
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Arraylist
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Creación de clases y métodos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Array list en java
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Arreglos y objetos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;ciclos para recorrer arreglo de objetos
ESTRUCTURAS DE DATOS;Àrboles
ESTRUCTURAS DE DATOS;Grafos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Interfaces gráficas de usuario.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;java interfaces
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;formularios y componentes de interfaces
ESTRUCTURAS DE DATOS;Colas
ESTRUCTURAS DE DATOS;Colas
ESTRUCTURAS DE DATOS;Pilas
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Listas enlazadas
ESTRUCTURAS DE DATOS;árboles
ESTRUCTURAS DE DATOS;Colas
ESTRUCTURAS DE DATOS;Pilas
ESTRUCTURAS DE DATOS;inserción en colas
ESTRUCTURAS DE DATOS;Estructura de colas
ESTRUCTURAS DE DATOS;Estructura de datos colas
ESTRUCTURAS DE DATOS;Pilas  en java
ESTRUCTURAS DE DATOS;Lectura de datos en java
ESTRUCTURAS DE DATOS;Código de estructura de árboles
ESTRUCTURAS DE DATOS;árboles binarios
ESTRUCTURAS DE DATOS;listas doblemente enlazadas
ESTRUCTURAS DE DATOS;Recorrido de listas 
ESTRUCTURAS DE DATOS;Impresion listas
ALGORITMIA Y PROGRAMACIÓN;vectores y matrices
ALGORITMIA Y PROGRAMACIÓN;Arreglos y vectores
PROGRAMACIÓN IMPERATIVA;Funciones
PROGRAMACIÓN IMPERATIVA;Matrices y arreglos
ALGORITMIA Y PROGRAMACIÓN;Arreglos
ESTRUCTURAS DE DATOS;multilistas
ESTRUCTURAS DE DATOS;Árboles
ESTRUCTURAS DE DATOS;Grafos
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;distribución binomial
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;teoria de colas
PROGRAMACIÓN IMPERATIVA;Funciones
PROGRAMACIÓN IMPERATIVA;Ciclos números aleatorios
PROGRAMACIÓN IMPERATIVA;Funciones y procedimientos
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Herencia en DPOO
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Aclaración de dudas con respecto a requerimientos funcionales y no funcionales.
DISEÑO Y PROGRAMACIÓN ORIENTADA A OBJETOS;Codificación de objetos en Java
ALGORITMIA Y PROGRAMACIÓN;Resolución de problema sobre triangulo egipcio
ALGORITMIA Y PROGRAMACIÓN;Resolución de ecuacion de 2do grado a partir del signo del discriminante
ALGORITMIA Y PROGRAMACIÓN;Bucles while - conceptos generales
ALGORITMIA Y PROGRAMACIÓN;Solucion ejercicio de suma de numeros impares
ALGORITMIA Y PROGRAMACIÓN;Solución problema numeros divisibles entre 3
ALGORITMIA Y PROGRAMACIÓN;solucion problema numeros pares en rango
ALGORITMIA Y PROGRAMACIÓN;resolucion ejercicio 6 del parcial
ALGORITMIA Y PROGRAMACIÓN;resolucion ejercicio indices separados lectura y escritura
ESTRUCTURAS DE DATOS;Multilistas
ESTRUCTURAS DE DATOS;Árboles
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos de arboles
ANÁLISIS Y DISEÑO DE ALGORITMOS;Problema de Conway
ANÁLISIS Y DISEÑO DE ALGORITMOS;Algoritmo de ruta más corta  matrices
ANÁLISIS Y DISEÑO DE ALGORITMOS;ruta mas corta
ANÁLISIS Y DISEÑO DE ALGORITMOS;ruta crítica más corta
ANÁLISIS Y DISEÑO DE ALGORITMOS;complejidad computacional
ANÁLISIS Y DISEÑO DE ALGORITMOS;complejidad computacionl
INGENIERÍA DE SOFTWARE;integración backend
ALGORITMIA Y PROGRAMACIÓN;Introducción a proyecto integrador
ANÁLISIS Y DISEÑO DE ALGORITMOS;Ecuaciones de recurrencia
ANÁLISIS Y DISEÑO DE ALGORITMOS;ruta mínima
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;Transacción a 2 Fases - 2PC, Transacción a 3 Fases - 3PC
ARQUITECTURA DE SOFTWARE;Atributos de calidad y sus características a través de métricas
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;AWS CONCEPTO HISTORIA Y SERVICIOS
ALGORITMIA Y PROGRAMACIÓN;Concepto básicos visual basic
ALGORITMIA Y PROGRAMACIÓN;Concepto básicos visual basic
ESTRUCTURAS DE DATOS;Pilas y colas
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;planteamiento del problema del proyecto para la asignatura
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;formulación del proyecto con citaciones y cifras
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Estructura de los objetivos específicos para el proyecto de series de tiempo de clima
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Machine learning 
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Algoritmos de predicción
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;THREADS, COMUNICACIONES, TIPOS, ACID ,Transacción a 2 Fases - 2PC Transacción a 3 Fases - 3PC, Bloqueo a 2 Fases - 2PL
ARQUITECTURA DE SOFTWARE;Diagramas de UML diferencias y usos
INGENIERÍA DE SOFTWARE;requerimientos
INGENIERÍA DE SOFTWARE;diseño documental del proyecto 
INGENIERÍA DE SOFTWARE;cronograma
ALGORITMOS Y ANÁLISIS ESTOCÁSTICO;Elementos que debe cumplir una pregunta de investigación y objetivos para el proyecto del videojuego
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Compilación de APK
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Compilación de APK desde node
ARQUITECTURA DE SOFTWARE;Arquitectura Clean
PROGRAMACIÓN PARA DISPOSITIVOS ANDROID;Aplicación android
SISTEMAS DISTRIBUIDOS COMPUTACIONALES;AWS servidor DNS
ANÁLISIS Y DISEÑO DE ALGORITMOS;Automatas AFN
ANÁLISIS Y DISEÑO DE ALGORITMOS;algoritmos de ruta minima
PROGRAMACIÓN IMPERATIVA;Cadenas y ciclos for.
PROGRAMACIÓN IMPERATIVA;Cadenas y ciclos for
PROGRAMACIÓN IMPERATIVA;Definición del problema para la asignatura programación imperativa.
